as entantque
case cas
of de
class classe
infix infixe
data donnée
family famille
default défaut
deriving dérivant
do faire
forall pourtous
foreign étranger
hiding cachant
if si
then alors
else sinon
import importer
infixl infixeg
infixr infixed
let soit
in dans
newtype nouveautype
qualified qualifié
where où
try essayer
String Chaîne
Data Donnée
main principal
List Liste
IO ES
System Système
Environment Environnement
head tête
tail queue
init début
last dernier
take prendre
drop oublier
return retourner
length longueur
map convertir
foldl plierg
foldr plierd
reverse renverser
Text Texte
filter filtrer
putStrLn mettreChLgn
