as als
case falls
of aus
class klasse
infix infix
data daten
family familie
default voreinstellung
deriving abgeleitet
do tue
forall füralle
foreign fremd
hiding versteckt
if wenn
then dann
else sont
import importiere
infixl infixl
infixr infixr
let lasse
in in
newtype neuertyp
qualified qualifiziert
where wo
try versuche
String Zeichenkette
Data Daten
main haupt
List Liste
IO EA
System System
Environment Umwelt
head kopf
tail schweif
init anfang
last letztes
take nimm
drop vergiss
return rückgabe
length länge
map abbildung
foldl faltel
foldr falter
reverse umkehrung
Text Text
filter filtriere
putStrLn setzeZeiZl
Hello Hallo
World Welt
Control Kontrolle
chopsticks essstäbchen
Monad Monade
Vector Vektor
show zeige
getLine nimmZeile
read lese
words wörter
getMultipleLines nimmMehrereZeilen
otherwise andererenfalls
