as как
case если
of то/тогда/из
class класс
infix инфикс
data данные
family семейство
default стандарт
deriving вывод
do делать
forall длявсех
foreign иностранные
hiding прячется
if если
then тогда
else еще
import импортировать
infixl инфиксле
infixr инфикспр
let пусть
in в
newtype новыйтип
qualified квалифицированный
where где
try пытаться
String Строка
Data Данные
main главный
List Список
IO ВВы
System Система
Environment Контекст
head голова
tail хвост
init начал
last конч
take взять
drop уронить
return вернуть
length длина
map отображать
foldl складыватьле
foldr складыватьпр
reverse обратить
Text Текст
filter фильтровать
putStrLn ставитьСтЛи
Hello Привет
World Мир
Control Контроль
Monad Монада
Vector Вектор
show показать
getLine получитьЛинию
read читать
words слова
